esfera,chapa,altura,restituicao
20,20,5,0.6856
20,20,5,0.6928
20,20,5,0.7071
20,20,5,0.7312
20,20,5,0.7446
20,20,10,0.7071
20,20,10,0.7128
20,20,10,0.762
20,20,10,0.7128
20,20,10,0.7184
20,20,15,0.6762
20,20,15,0.6612
20,20,15,0.6612
20,20,15,0.6667
20,20,15,0.6927
20,20,20,0.6437
20,20,20,0.6042
20,20,20,0.6331
20,20,20,0.6564
20,20,20,0.6204
20,25,5,0.6659
20,25,5,0.6939
20,25,5,0.7005
20,25,5,0.7328
20,25,5,0.7612
20,25,10,0.6482
20,25,10,0.6482
20,25,10,0.6889
20,25,10,0.6889
20,25,10,0.6889
20,25,15,0.654
20,25,15,0.6236
20,25,15,0.6368
20,25,15,0.6853
20,25,15,0.6933
20,25,20,0.6145
20,25,20,0.6374
20,25,20,0.6199
20,25,20,0.6104
20,25,20,0.6136
20,30,5,0.6868
20,30,5,0.7265
20,30,5,0.7794
20,30,5,0.7265
20,30,5,0.7638
20,30,10,0.6478
20,30,10,0.6879
20,30,10,0.6547
20,30,10,0.744
20,30,10,0.7166
20,30,15,0.6522
20,30,15,0.6772
20,30,15,0.6522
20,30,15,0.6583
20,30,15,0.6667
20,30,20,0.5683
20,30,20,0.5534
20,30,20,0.5672
20,30,20,0.644
20,30,20,0.6763
20,35,5,0.714
20,35,5,0.7835
20,35,5,0.7071
20,35,5,0.6965
20,35,5,0.7708
20,35,10,0.7101
20,35,10,0.7679
20,35,10,0.7221
20,35,10,0.7101
20,35,10,0.76
20,35,15,0.65
20,35,15,0.7422
20,35,15,0.7239
20,35,15,0.7493
20,35,15,0.6821
20,35,20,0.6413
20,35,20,0.7042
20,35,20,0.6673
20,35,20,0.6426
20,35,20,0.6704
20,40,5,0.6588
20,40,5,0.6831
20,40,5,0.6588
20,40,5,0.6516
20,40,5,0.7268
20,40,10,0.6482
20,40,10,0.6482
20,40,10,0.6889
20,40,10,0.6889
20,40,10,0.6889
20,40,15,0.6448
20,40,15,0.6534
20,40,15,0.6891
20,40,15,0.6538
20,40,15,0.6809
20,40,20,0.6051
20,40,20,0.5986
20,40,20,0.6325
20,40,20,0.6306
20,40,20,0.6816
25,20,5,0.7237
25,20,5,0.6485
25,20,5,0.7299
25,20,5,0.7071
25,20,5,0.7524
25,20,10,0.6579
25,20,10,0.6911
25,20,10,0.6407
25,20,10,0.7176
25,20,10,0.6911
25,20,15,0.6002
25,20,15,0.6878
25,20,15,0.6517
25,20,15,0.7109
25,20,15,0.5973
25,20,20,0.5739
25,20,20,0.6087
25,20,20,0.6375
25,20,20,0.5943
25,20,20,0.6486
25,25,5,0.6213
25,25,5,0.7493
25,25,5,0.7255
25,25,5,0.778
25,25,5,0.7315
25,25,10,0.6369
25,25,10,0.6399
25,25,10,0.6729
25,25,10,0.6399
25,25,10,0.7303
25,25,15,0.5986
25,25,15,0.6177
25,25,15,0.6269
25,25,15,0.6885
25,25,15,0.6803
25,25,20,0.5678
25,25,20,0.6073
25,25,20,0.6653
25,25,20,0.6039
25,25,20,0.6434
25,30,5,0.6526
25,30,5,0.7299
25,30,5,0.7426
25,30,5,0.6628
25,30,5,0.7709
25,30,10,0.6547
25,30,10,0.661
25,30,10,0.719
25,30,10,0.6798
25,30,10,0.7615
25,30,15,0.5742
25,30,15,0.6107
25,30,15,0.7185
25,30,15,0.6255
25,30,15,0.6552
25,30,20,0.5672
25,30,20,0.5558
25,30,20,0.5729
25,30,20,0.6457
25,30,20,0.675
25,35,5,0.6799
25,35,5,0.7071
25,35,5,0.7071
25,35,5,0.7333
25,35,5,0.6868
25,35,10,0.6433
25,35,10,0.7192
25,35,10,0.6702
25,35,10,0.6574
25,35,10,0.7535
25,35,15,0.6265
25,35,15,0.664
25,35,15,0.6558
25,35,15,0.7259
25,35,15,0.7296
25,35,20,0.6217
25,35,20,0.6172
25,35,20,0.7224
25,35,20,0.612
25,35,20,0.665
25,40,5,0.7596
25,40,5,0.643
25,40,5,0.6794
25,40,5,0.643
25,40,5,0.7241
25,40,10,0.6547
25,40,10,0.6409
25,40,10,0.7071
25,40,10,0.6478
25,40,10,0.7676
25,40,15,0.5742
25,40,15,0.6246
25,40,15,0.6174
25,40,15,0.7071
25,40,15,0.7507
25,40,20,0.5995
25,40,20,0.7194
25,40,20,0.6144
