D,Rho,Mspp,Mrpp,Mspw,Mrpw,Epp,Epw,Inferior,Superior
4,4000,0.3,0.03,0.3,0.03,0.8,0.8,24455,20785
4,4000,0.3,0.03,0.3,0.06,0.8,0.5,24840,21535
4,4000,0.3,0.03,0.6,0.03,0.8,0.5,25680,21455
4,4000,0.3,0.03,0.6,0.06,0.8,0.8,24735,22405
4,4000,0.3,0.06,0.3,0.03,0.5,0.8,26640,22310
4,4000,0.3,0.06,0.3,0.06,0.5,0.5,25555,22995
4,4000,0.3,0.06,0.6,0.03,0.5,0.5,27065,22595
4,4000,0.3,0.06,0.6,0.06,0.5,0.8,25805,24600
4,4000,0.6,0.03,0.3,0.03,0.5,0.8,26710,23480
4,4000,0.6,0.03,0.3,0.06,0.5,0.5,27615,24365
4,4000,0.6,0.03,0.6,0.03,0.5,0.5,27365,25270
4,4000,0.6,0.03,0.6,0.06,0.5,0.8,26680,24765
4,4000,0.6,0.06,0.3,0.03,0.8,0.8,28875,24000
4,4000,0.6,0.06,0.3,0.06,0.8,0.5,29735,25320
4,4000,0.6,0.06,0.6,0.03,0.8,0.5,29420,24980
4,4000,0.6,0.06,0.6,0.06,0.8,0.8,29695,26570
4,8000,0.3,0.03,0.3,0.03,0.5,0.5,25845,19115
4,8000,0.3,0.03,0.3,0.06,0.5,0.8,25095,19830
4,8000,0.3,0.03,0.6,0.03,0.5,0.8,24835,22550
4,8000,0.3,0.03,0.6,0.06,0.5,0.5,24625,21645
4,8000,0.3,0.06,0.3,0.03,0.8,0.5,25210,22205
4,8000,0.3,0.06,0.3,0.06,0.8,0.8,27130,22450
4,8000,0.3,0.06,0.6,0.03,0.8,0.8,25850,22360
4,8000,0.3,0.06,0.6,0.06,0.8,0.5,26180,23175
4,8000,0.6,0.03,0.3,0.03,0.8,0.5,28495,22745
4,8000,0.6,0.03,0.3,0.06,0.8,0.8,27345,22935
4,8000,0.6,0.03,0.6,0.03,0.8,0.8,28625,24825
4,8000,0.6,0.03,0.6,0.06,0.8,0.5,26205,25495
4,8000,0.6,0.06,0.3,0.03,0.5,0.5,28305,22990
4,8000,0.6,0.06,0.3,0.06,0.5,0.8,28475,24320
4,8000,0.6,0.06,0.6,0.03,0.5,0.8,28765,25400
4,8000,0.6,0.06,0.6,0.06,0.5,0.5,29985,26450
6,4000,0.3,0.03,0.3,0.03,0.5,0.5,24620,19955
6,4000,0.3,0.03,0.3,0.06,0.5,0.8,25060,21695
6,4000,0.3,0.03,0.6,0.03,0.5,0.8,26625,19495
6,4000,0.3,0.03,0.6,0.06,0.5,0.5,26265,21615
6,4000,0.3,0.06,0.3,0.03,0.8,0.5,27825,22390
6,4000,0.3,0.06,0.3,0.06,0.8,0.8,27330,23175
6,4000,0.3,0.06,0.6,0.03,0.8,0.8,28365,21430
6,4000,0.3,0.06,0.6,0.06,0.8,0.5,27370,24055
6,4000,0.6,0.03,0.3,0.03,0.8,0.5,27775,21720
6,4000,0.6,0.03,0.3,0.06,0.8,0.8,28195,22950
6,4000,0.6,0.03,0.6,0.03,0.8,0.8,27925,22965
6,4000,0.6,0.03,0.6,0.06,0.8,0.5,27655,24490
6,4000,0.6,0.06,0.3,0.03,0.5,0.5,29535,24465
6,4000,0.6,0.06,0.3,0.06,0.5,0.8,28200,23940
6,4000,0.6,0.06,0.6,0.03,0.5,0.8,30435,26960
6,4000,0.6,0.06,0.6,0.06,0.5,0.5,29755,25705
6,8000,0.3,0.03,0.3,0.03,0.8,0.8,25990,18925
6,8000,0.3,0.03,0.3,0.06,0.8,0.5,25425,20165
6,8000,0.3,0.03,0.6,0.03,0.8,0.5,24275,18530
6,8000,0.3,0.03,0.6,0.06,0.8,0.8,24730,20735
6,8000,0.3,0.06,0.3,0.03,0.5,0.8,27450,20500
6,8000,0.3,0.06,0.3,0.06,0.5,0.5,26535,22205
6,8000,0.3,0.06,0.6,0.03,0.5,0.5,27190,21055
6,8000,0.3,0.06,0.6,0.06,0.5,0.8,26350,23255
6,8000,0.6,0.03,0.3,0.03,0.5,0.8,28660,21160
6,8000,0.6,0.03,0.3,0.06,0.5,0.5,28195,21860
6,8000,0.6,0.03,0.6,0.03,0.5,0.5,28470,22125
6,8000,0.6,0.03,0.6,0.06,0.5,0.8,29410,23605
6,8000,0.6,0.06,0.3,0.03,0.8,0.8,29620,23695
6,8000,0.6,0.06,0.3,0.06,0.8,0.5,30005,24125
6,8000,0.6,0.06,0.6,0.03,0.8,0.5,29960,26265
6,8000,0.6,0.06,0.6,0.06,0.8,0.8,29505,25745
2.945361,6000,0.45,45,0.45,45,0.65,0.65,28750,25415
7.054639,6000,0.45,45,0.45,45,0.65,0.65,28775,24205
5,1890.72,0.45,45,0.45,45,0.65,0.65,27305,24915
5,10109.28,0.45,45,0.45,45,0.65,0.65,27430,24310
5,6000,0.141804,45,0.45,45,0.65,0.65,21310,18020
5,6000,0.758196,45,0.45,45,0.65,0.65,31235,25360
5,6000,0.45,0.01418,0.45,45,0.65,0.65,26560,23595
5,6000,0.45,0.07582,0.45,45,0.65,0.65,29425,26010
5,6000,0.45,45,0.141804,45,0.65,0.65,27440,17445
5,6000,0.45,45,0.758196,45,0.65,0.65,27860,23700
5,6000,0.45,45,0.45,0.01418,0.65,0.65,28560,21795
5,6000,0.45,45,0.45,0.07582,0.65,0.65,28160,24920
5,6000,0.45,45,0.45,45,0.341804,0.65,28500,23450
5,6000,0.45,45,0.45,45,0.958196,0.65,28630,24555
5,6000,0.45,45,0.45,45,0.65,0.341804,28195,22680
5,6000,0.45,45,0.45,45,0.65,0.958196,28555,24180
5,6000,0.45,45,0.45,45,0.65,0.65,28265,24365
