tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.058101909,0.058049111,0.058135276,0.430948164,0.466577501,0.466493596,0.46476614,0.464643495,0.464614279,0.464548661,0.463989384,0.464949696,0.465330966,0.45144691,0.086155513,0.099431048,0.101056624,0.105391493,0.103224059,0.106204281,0.103494988,0.107558927,0.101869412,0.085342726
0.2,0.057793068,0.058015538,0.057570598,0.449942002,0.454139559,0.47131826,0.477810752,0.47837911,0.476550488,0.478525749,0.476424639,0.479429018,0.480305682,0.469766112,0.086155513,0.099701978,0.100785695,0.105391493,0.103224059,0.10647521,0.103224059,0.107829856,0.101869412,0.085342726
0.3,0.057541791,0.057715547,0.057368035,0.466741489,0.469609379,0.48295326,0.482400736,0.48275096,0.482662891,0.483196939,0.484507781,0.484839221,0.483468101,0.469106073,0.086426443,0.099431048,0.100785695,0.105391493,0.103224059,0.10647521,0.103224059,0.107829856,0.101869412,0.085342726
0.4,0.056636305,0.05706169,0.05621092,0.454994381,0.473487409,0.475607874,0.479915917,0.481665659,0.480062945,0.482833247,0.483557975,0.481672298,0.483307614,0.463705754,0.086697372,0.099160119,0.100785695,0.105391493,0.103224059,0.10647521,0.103224059,0.107558927,0.102140341,0.085342726
0.5,0.054056043,0.054898108,0.053213979,0.458141262,0.450432701,0.478704831,0.481109184,0.480410103,0.476607325,0.487634314,0.479348347,0.482717189,0.482121514,0.459784217,0.087239231,0.098347331,0.101056624,0.105391493,0.103224059,0.10647521,0.103224059,0.107287998,0.102140341,0.085613655
0.6,0.050241473,0.049963144,0.050519802,0.461831212,0.467605715,0.476293825,0.477896868,0.475889238,0.467085043,0.477993795,0.478196193,0.483845518,0.480114058,0.450312823,0.088322948,0.097534543,0.100785695,0.105120564,0.103765917,0.106204281,0.103224059,0.105933351,0.102953129,0.086155513
0.7,0.051513007,0.043950596,0.059075417,0.464793449,0.468698678,0.464999007,0.474337122,0.475855883,0.45866464,0.475199632,0.466320125,0.467705421,0.483598393,0.452610831,0.091032241,0.096179897,0.101056624,0.103765917,0.103765917,0.105662422,0.1026822,0.10647521,0.101056624,0.088322948
0.8,0.067286656,0.052351167,0.082222146,0.460275359,0.462469006,0.469350467,0.476030578,0.454883248,0.48107212,0.469557724,0.459154831,0.460221626,0.47634219,0.430320911,0.095638038,0.094554321,0.099160119,0.105120564,0.101869412,0.104578705,0.103765917,0.103765917,0.098618261,0.092928746
0.9,0.083731373,0.056084888,0.111377859,0.438906151,0.464869997,0.474692935,0.454043185,0.460117392,0.451105721,0.454100144,0.458863374,0.455899784,0.450778136,0.43226872,0.099701978,0.096450826,0.098347331,0.101598483,0.101598483,0.102411271,0.101327554,0.101327554,0.097805473,0.099431048
1,0.059878999,0.036414905,0.083343093,0.419853437,0.420986521,0.42892414,0.442495834,0.446690484,0.44536359,0.425489324,0.418594073,0.443371271,0.440504102,0.406992493,0.099431048,0.099431048,0.097805473,0.100243836,0.09888919,0.102411271,0.100243836,0.100514766,0.09888919,0.102140341
1.1,0.055402722,0.052167323,0.058638121,0.412836346,0.423056742,0.421900456,0.435352109,0.431342001,0.428763856,0.428285027,0.429990697,0.432679149,0.428724214,0.426281382,0.100785695,0.099431048,0.096992685,0.101327554,0.09888919,0.101056624,0.099701978,0.101598483,0.097805473,0.102411271
1.2,0.053624816,0.056038878,0.051210754,0.42522989,0.44437668,0.422140106,0.424808529,0.435577298,0.452216091,0.440583372,0.43606202,0.422328647,0.437946742,0.442327924,0.101056624,0.098618261,0.098076402,0.101327554,0.098618261,0.101598483,0.098347331,0.102140341,0.097534543,0.1026822
1.3,0.044750646,0.044072227,0.045429064,0.42878281,0.443180916,0.455849277,0.439752526,0.445915466,0.456644683,0.45631731,0.448945603,0.453855742,0.452327342,0.426432532,0.100785695,0.09888919,0.097805473,0.101598483,0.09888919,0.100514766,0.099160119,0.101869412,0.098076402,0.102411271
1.4,0.044744486,0.029715133,0.05977384,0.421794577,0.436860864,0.458680195,0.433080911,0.425092962,0.448071518,0.450213185,0.445815593,0.450169134,0.444135148,0.4247089,0.101056624,0.099972907,0.096992685,0.100785695,0.099160119,0.098618261,0.099160119,0.102140341,0.099160119,0.102953129
1.5,0.0671404,0.047097326,0.087183474,0.408582091,0.456296416,0.437177714,0.422713605,0.430775712,0.438025256,0.432673487,0.434814269,0.4474835,0.441051539,0.422148533,0.101598483,0.100243836,0.097805473,0.099431048,0.09888919,0.097263614,0.100514766,0.102411271,0.100514766,0.101327554
1.6,0.046843002,0.03137598,0.062310023,0.391860278,0.426569675,0.422067255,0.41080103,0.386186005,0.416871328,0.410820878,0.424459095,0.422760198,0.435076764,0.424894621,0.102411271,0.100243836,0.096992685,0.101056624,0.097534543,0.095638038,0.102953129,0.101327554,0.100785695,0.101056624
1.7,0.037029101,0.037069713,0.036988489,0.383221106,0.424922246,0.424323067,0.401178873,0.404851399,0.409992936,0.409891652,0.394138453,0.421012889,0.429239262,0.415787693,0.105120564,0.099431048,0.09509618,0.101056624,0.097534543,0.096450826,0.101056624,0.102411271,0.101327554,0.100514766
1.8,0.049884891,0.05364387,0.046125912,0.385445673,0.426616809,0.428076383,0.40949846,0.412481932,0.415234664,0.416231205,0.421920428,0.425497009,0.426013949,0.412127906,0.105391493,0.099160119,0.095367109,0.101056624,0.097263614,0.096721756,0.101327554,0.101869412,0.101327554,0.100514766
1.9,0.035310405,0.038160284,0.032460526,0.390902943,0.420532315,0.428849373,0.420952934,0.414839939,0.424186683,0.428913177,0.430298186,0.421959655,0.428815881,0.41116831,0.105662422,0.09888919,0.095638038,0.100785695,0.097263614,0.096179897,0.101869412,0.102411271,0.101327554,0.099972907
2,0.036687035,0.026873863,0.046500206,0.389649684,0.419024675,0.423783536,0.417786169,0.41207047,0.422229756,0.428363856,0.433824505,0.427325266,0.428177992,0.402389055,0.104849634,0.09888919,0.097805473,0.100243836,0.096721756,0.096179897,0.101056624,0.103224059,0.102140341,0.09888919
2.1,0.058197388,0.044212595,0.072182181,0.369218265,0.404485274,0.411631115,0.400602366,0.395749769,0.39635446,0.406722225,0.415495485,0.420040215,0.40138341,0.397760476,0.104578705,0.097805473,0.100514766,0.102140341,0.094012463,0.09509618,0.100243836,0.102411271,0.104307776,0.09888919
2.2,0.038292782,0.02780238,0.048783184,0.346840171,0.392710299,0.400341609,0.389520911,0.382660944,0.385111444,0.386428557,0.395558205,0.414372386,0.410948586,0.389812946,0.102140341,0.100514766,0.101327554,0.101869412,0.093199675,0.095638038,0.100243836,0.102953129,0.104849634,0.097263614
2.3,0.030486837,0.030644528,0.030329145,0.34059882,0.415495672,0.402586522,0.385464465,0.375881214,0.379155053,0.379554853,0.391283734,0.412103188,0.428449433,0.412708473,0.101598483,0.101327554,0.101056624,0.100514766,0.094554321,0.096450826,0.099431048,0.104036846,0.106204281,0.094825251
2.4,0.039118317,0.04221019,0.036026444,0.350010228,0.407903297,0.411106594,0.377824928,0.366508766,0.373277978,0.391658273,0.418162863,0.408971949,0.418518143,0.4105437,0.102411271,0.099701978,0.102140341,0.100243836,0.094283392,0.096179897,0.100243836,0.104036846,0.10647521,0.094283392
2.5,0.022892835,0.021602737,0.024182933,0.354712863,0.420932456,0.416163777,0.399551549,0.377937564,0.384544153,0.388870652,0.42012455,0.399859729,0.407673208,0.402603871,0.101869412,0.100243836,0.101869412,0.100514766,0.094012463,0.096992685,0.099701978,0.105120564,0.105933351,0.093741533
2.6,0.038391952,0.032292346,0.044491557,0.344866718,0.417043187,0.422127703,0.402542378,0.373456776,0.378675333,0.383686075,0.416060722,0.391005702,0.414928173,0.401242848,0.102411271,0.100514766,0.1026822,0.099160119,0.094825251,0.096450826,0.101056624,0.103494988,0.107829856,0.091574099
2.7,0.043924161,0.037271891,0.050576431,0.330615883,0.412484111,0.40451599,0.401083989,0.377311742,0.379008956,0.372901534,0.398985279,0.397773056,0.421208463,0.380466907,0.102411271,0.101056624,0.103494988,0.098618261,0.094012463,0.097534543,0.101327554,0.103765917,0.10647521,0.09130317
2.8,0.02828632,0.024934573,0.031638066,0.322139092,0.396222803,0.406502453,0.402074474,0.38033119,0.385997468,0.387040989,0.407229816,0.40340687,0.415526603,0.403662685,0.101327554,0.102953129,0.102140341,0.098618261,0.094283392,0.097263614,0.101598483,0.104307776,0.10647521,0.091032241
2.9,0.040627,0.043936923,0.037317077,0.318229031,0.369682474,0.400406649,0.398794508,0.377189654,0.385847931,0.38987473,0.397291523,0.396160781,0.404303339,0.370508603,0.100514766,0.105391493,0.102411271,0.098618261,0.092928746,0.098347331,0.100785695,0.104036846,0.10647521,0.090490382
