tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.058488481,0.058541985,0.05776753,0.433038814,0.464380777,0.473234873,0.47223006,0.449386478,0.475969099,0.452276364,0.477189903,0.477867773,0.475083652,0.473416763,0.081263167,0.099901978,0.107173162,0.10641971,0.105198092,0.105220037,0.106902505,0.108775164,0.099638635,0.079492919
0.2,0.058276927,0.058319438,0.057731223,0.443870944,0.484428041,0.475747262,0.487227393,0.468262684,0.470142162,0.472282586,0.455780151,0.48543674,0.486940616,0.471532728,0.081285112,0.099880033,0.107209738,0.10640508,0.105183462,0.105241983,0.106865929,0.108767849,0.099653265,0.079507549
0.3,0.058017654,0.058068288,0.057374427,0.464358898,0.48304216,0.489968128,0.490061005,0.482933766,0.468630094,0.488031421,0.476812777,0.477194618,0.491836362,0.493206024,0.081307058,0.099872718,0.107180478,0.106397765,0.105205407,0.105220037,0.106865929,0.108775164,0.099638635,0.079536809
0.4,0.056739553,0.056857003,0.055247506,0.458649952,0.462673966,0.489602011,0.479630891,0.484211712,0.471996356,0.485934465,0.478248972,0.471002926,0.487482952,0.462791541,0.081358263,0.099901978,0.107107327,0.10643434,0.105183462,0.105183462,0.106865929,0.108731273,0.09963132,0.079602645
0.5,0.050932322,0.050994395,0.050137195,0.451785236,0.436048655,0.471854822,0.480288564,0.482871919,0.473793851,0.483280585,0.480625146,0.470109966,0.468598564,0.460995412,0.081738647,0.099762992,0.107085382,0.106375819,0.105037161,0.105081051,0.106712313,0.108460616,0.099719101,0.080012289
0.6,0.050492084,0.049840407,0.058763078,0.448170226,0.462400064,0.48057195,0.47497369,0.471678773,0.456796137,0.471253424,0.467552284,0.472807345,0.476723512,0.45248362,0.084196512,0.098724251,0.106390449,0.106046641,0.104700667,0.104898174,0.106090531,0.107195108,0.099075375,0.082667662
0.7,0.053799172,0.051202579,0.086784299,0.437650072,0.456192662,0.468207177,0.472540267,0.457661507,0.440787734,0.455046521,0.449776977,0.468705313,0.474409858,0.449637076,0.089463366,0.097531894,0.104773818,0.104656777,0.103771653,0.10398379,0.104627516,0.104920119,0.097883017,0.088380735
0.8,0.049586263,0.045640725,0.099708213,0.424011854,0.421537967,0.445707476,0.43989185,0.428838772,0.41671587,0.420662956,0.423857609,0.443037206,0.448745129,0.415877314,0.094832631,0.097883017,0.102908474,0.101818528,0.102652446,0.102411049,0.102601241,0.102389103,0.097524579,0.094971618
0.9,0.041518392,0.039776595,0.063636145,0.434698572,0.435026063,0.43451578,0.428436777,0.416230829,0.409553944,0.412566662,0.416747433,0.426841997,0.44671519,0.432972213,0.0986511,0.098256086,0.101628336,0.100114115,0.101065075,0.100750527,0.101416199,0.10107239,0.098139045,0.098885183
1,0.055854748,0.056658823,0.045612859,0.434993274,0.419459481,0.446790125,0.442593053,0.433218894,0.42788634,0.451424015,0.442504772,0.442628457,0.440522893,0.422540002,0.099638635,0.098329237,0.101386938,0.09961669,0.100457924,0.100370143,0.101196746,0.100845623,0.098358497,0.099755676
1.1,0.047366185,0.048287661,0.035660082,0.416546124,0.411915469,0.427422338,0.435799722,0.426025502,0.417048582,0.425520936,0.42070818,0.428961891,0.423686607,0.41090198,0.099960499,0.098219511,0.101335733,0.099441128,0.100479869,0.100275047,0.101182116,0.100640801,0.098512114,0.099953184
1.2,0.023341353,0.022562936,0.033219289,0.400769298,0.415441146,0.416251524,0.428447445,0.418929586,0.409664632,0.419738032,0.412556938,0.417816408,0.416580571,0.414022424,0.100194581,0.098373127,0.10154787,0.099090005,0.099982444,0.099938553,0.100969979,0.100618855,0.098768141,0.100479869
