tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.058699009,0.058369233,0.058701811,0.258222929,0.441185242,0.455280364,0.450204419,0.475405404,0.47447093,0.466770948,0.461061223,0.471484843,0.449327358,0.439243276,0.066106746,0.091574099,0.105662422,0.118125169,0.119479816,0.122460038,0.115415876,0.108371715,0.091032241,0.061771878
0.2,0.05827946,0.057963731,0.058287984,0.332819233,0.453314666,0.472688221,0.46775945,0.455858425,0.474577024,0.464924285,0.462697867,0.476407883,0.466920862,0.45223945,0.065835817,0.091845028,0.105662422,0.11785424,0.119750745,0.122460038,0.115686806,0.108100786,0.091032241,0.061771878
0.3,0.057642447,0.057745123,0.057639675,0.257042037,0.459114722,0.491677362,0.480809305,0.475341812,0.477949698,0.474026617,0.477364554,0.481368578,0.479184475,0.433625581,0.066106746,0.091574099,0.105662422,0.118396099,0.119208886,0.122460038,0.115686806,0.108100786,0.091032241,0.061771878
0.4,0.05479375,0.056547525,0.054746403,0.156224523,0.439098011,0.488712002,0.480928617,0.467682638,0.473591396,0.477155363,0.475960446,0.486455766,0.480021034,0.436927285,0.066377675,0.091574099,0.105391493,0.118396099,0.119208886,0.122460038,0.115686806,0.108371715,0.090761311,0.061771878
0.5,0.050824378,0.053366594,0.050755746,0.22188428,0.415309363,0.474398774,0.466404964,0.470157138,0.470414508,0.474652076,0.471354184,0.468121977,0.465203349,0.367448881,0.066648605,0.09130317,0.104849634,0.118937957,0.119479816,0.121918179,0.115957735,0.108100786,0.090490382,0.062313736
0.6,0.057160899,0.045375019,0.057479082,0.276037622,0.412937899,0.47068367,0.471001128,0.478306975,0.473464935,0.466888581,0.464768644,0.465607636,0.444802825,0.367282657,0.069086968,0.089948523,0.104307776,0.118396099,0.119208886,0.121918179,0.115957735,0.10647521,0.09130317,0.063397453
0.7,0.070854173,0.04224117,0.071626637,0.189058972,0.370320554,0.434945426,0.443945556,0.471428903,0.476440859,0.47299687,0.472944801,0.450991649,0.437714894,0.351084477,0.073150908,0.089677594,0.103224059,0.114874018,0.121376321,0.120292604,0.115957735,0.103224059,0.092386887,0.065835817
0.8,0.085768146,0.047259955,0.086807751,0.24189862,0.345915143,0.423650037,0.435880317,0.4415111,0.441605916,0.453684598,0.425340428,0.446525394,0.39505425,0.323765143,0.076672988,0.090490382,0.101869412,0.114332159,0.120834462,0.116228664,0.114603089,0.101598483,0.093470604,0.069899756
0.9,0.078744601,0.041687217,0.079745038,0.255170093,0.35707972,0.39751972,0.39956643,0.437820153,0.433322564,0.434358025,0.407044781,0.400050287,0.392669785,0.340086578,0.078027635,0.092657816,0.101327554,0.112435654,0.120563533,0.117312381,0.111081008,0.099701978,0.094012463,0.072879978
1,0.067530924,0.051537859,0.067962689,0.232111623,0.3560499,0.387572739,0.390615248,0.394918203,0.412983586,0.408225444,0.397385375,0.384623451,0.398456889,0.336495744,0.078298564,0.092657816,0.1026822,0.111081008,0.120563533,0.117041452,0.110539149,0.099701978,0.093199675,0.074234625
