,type,v:0,v:1,v:2,radius,Points:0,Points:1,Points:2
0,1,0.066329,-0.02938,9.0849e-05,0.0021,-0.029423,-0.066345,0.003761
1,1,0.06857100000000001,-0.023944999999999998,-1.3375e-05,0.0021,-0.023987,-0.068577,0.003303
2,1,0.068949,-0.023041,-8.5279e-06,0.0021,-0.023091,-0.068945,0.0078446
3,1,0.069952,-0.020214,-3.65e-05,0.0021,-0.020211,-0.06995599999999999,0.0020987
4,1,0.066273,-0.020538999999999998,5.3303e-05,0.0021,-0.020707,-0.066332,0.005093199999999999
5,1,0.070116,-0.019287000000000002,1.536e-05,0.0021,-0.019408,-0.070137,0.0062229
6,1,0.069392,-0.016035,-4.3555e-05,0.0021,-0.016051,-0.06940700000000001,0.0020957
7,1,0.07090700000000001,-0.015238999999999999,-1.7529e-05,0.0021,-0.015304,-0.070937,0.0059283999999999995
8,1,0.06664099999999999,-0.016447999999999997,-7.3037e-05,0.0021,-0.016577,-0.066717,0.005703100000000001
9,1,0.071508,-0.012278,-1.2294000000000001e-05,0.0021,-0.012303,-0.07152599999999999,0.0020868
10,1,0.067719,-0.012412000000000001,-5.1595e-06,0.0021,-0.012555,-0.067799,0.006169300000000001
11,1,0.067356,-0.011632,-1.2547999999999999e-05,0.0021,-0.01171,-0.067387,0.002091
12,1,0.07170800000000001,-0.011120999999999999,-7.9767e-06,0.0021,-0.011179000000000001,-0.071757,0.0061083
13,1,0.072323,-0.0081589,-4.0979e-06,0.0021,-0.0081876,-0.072338,0.0021994
14,1,0.068627,-0.0086117,1.4224000000000001e-05,0.0021,-0.0087135,-0.068712,0.007535600000000001
15,1,0.072502,-0.007104600000000001,8.2767e-06,0.0021,-0.0071521,-0.072543,0.0069578
16,1,0.06818099999999999,-0.0075649,3.8787e-06,0.0021,-0.007607399999999999,-0.0682,0.0020853
17,1,0.06892100000000001,-0.0051015,2.7216999999999997e-05,0.0021,-0.005146100000000001,-0.068959,0.005381100000000001
18,1,0.071332,-0.0041014,1.3878e-05,0.0021,-0.0041175,-0.07134299999999999,0.0020901
19,1,0.072546,-0.0030642,2.3074e-05,0.0021,-0.0030886,-0.072573,0.0059609
20,1,0.066653,-0.0023576,6.5086e-05,0.0021,-0.002408,-0.066703,0.007601
21,1,0.069219,-0.0010558,3.959e-05,0.0021,-0.0010864000000000002,-0.069249,0.004437600000000001
22,1,0.065919,-0.0019598,2.6442e-05,0.0021,-0.0019837,-0.065937,0.0020682
23,1,0.072546,-9.2934e-05,1.9625e-05,0.0021,-0.00010772,-0.072559,0.0020785
24,1,0.072525,0.0012695,2.3954e-05,0.0021,0.0012359000000000003,-0.07255,0.0060387
25,1,0.069323,0.0025563,0.00030614,0.0021,0.0025594999999999997,-0.069327,0.0021499
26,1,0.068334,0.0021443,5.3758e-05,0.0021,0.0021105,-0.068365,0.006954300000000001
27,1,0.07254,0.0049955,2.8595e-05,0.0021,0.004966300000000001,-0.072564,0.007928
28,1,0.072535,0.0052374,0.00056291,0.0021,0.0052581,-0.072537,0.0021879
29,1,0.069448,0.0057558999999999996,3.1573000000000004e-05,0.0021,0.005731399999999999,-0.069486,0.005197600000000001
30,2,0.06711,0.007208,2.8295e-05,0.0021,0.0072043,-0.067131,0.0020785
31,2,0.072229,0.008734200000000001,1.6046e-05,0.0021,0.008714399999999999,-0.072252,0.006143
32,2,0.07173,0.009379799999999999,4.1158e-06,0.0021,0.009375,-0.071747,0.0020670000000000003
33,2,0.06623899999999999,0.011068999999999999,5.5475e-05,0.0021,0.011053,-0.066256,0.0057997
34,2,0.06768300000000001,0.012256999999999999,2.367e-05,0.0021,0.012253,-0.06769800000000001,0.002074
35,2,0.071508,0.012384000000000001,1.2862e-05,0.0021,0.012369,-0.071518,0.0079944
36,2,0.071355,0.013134,1.3627999999999999e-05,0.0021,0.013129,-0.071367,0.0038755000000000005
37,2,0.06758600000000001,0.014378,4.386e-05,0.0021,0.014351,-0.067591,0.0080055
38,2,0.066527,0.016256,2.7429e-05,0.0021,0.016235,-0.066535,0.0026577
39,2,0.070605,0.016952000000000002,8.3206e-06,0.0021,0.016942,-0.070605,0.0020805999999999997
40,2,0.070688,0.016535,1.8205999999999998e-05,0.0021,0.016518,-0.07069600000000001,0.0062331
41,2,0.068506,0.019814,3.3308e-05,0.0021,0.019788999999999998,-0.0685,0.004862399999999999
42,2,0.06542200000000001,0.020246,3.1216e-05,0.0021,0.020219,-0.065415,0.0020755
43,2,0.069039,0.022893,1.0596e-05,0.0021,0.02289,-0.069052,0.0020944
44,2,0.06828,0.024836,5.3632e-05,0.0021,0.024812,-0.068262,0.0059106
45,2,0.067452,0.026810000000000004,5.0676e-05,0.0021,0.026791000000000002,-0.067433,0.0021773000000000005
46,2,0.066662,0.028669999999999998,0.00026319,0.0021,0.028682,-0.066637,0.0059876999999999994
47,2,0.065416,0.031682,1.7237e-05,0.0021,0.031666,-0.065416,0.0021195
48,1,0.077872,-0.049982,-0.00094075,0.0021,-0.039488999999999996,-0.060862,0.0073051999999999995
49,1,0.060473,-0.040137,3.5755e-05,0.0021,-0.040048,-0.060506,0.0031506
50,1,0.05853,-0.043093,0.00012809,0.0021,-0.043122,-0.05845,0.005102300000000001
51,1,0.063581,-0.035436,0.00014221,0.0021,-0.035571,-0.063483,0.005128100000000001
52,1,0.060608,-0.036274,3.7448000000000005e-05,0.0021,-0.036016,-0.060676999999999995,0.0020696
53,1,0.058944,-0.036389,0.00014153,0.0021,-0.035872,-0.059057000000000005,0.0059142
54,1,0.064983,-0.033111,0.00012903,0.0021,-0.033039,-0.064863,0.0020904
55,1,0.061259,-0.032711000000000004,0.00026313,0.0021,-0.032655,-0.061171,0.0075694
56,1,0.065225,-0.03205,0.00017207,0.0021,-0.032119999999999996,-0.065237,0.0067673
57,1,0.061029999999999994,-0.032175999999999996,0.00019896,0.0021,-0.032077999999999995,-0.061023,0.0034236999999999996
58,1,0.060639,-0.028054000000000003,0.0001112,0.0021,-0.028133999999999996,-0.060694000000000005,0.00209
59,1,0.060392999999999995,-0.027656,0.00026297,0.0021,-0.027889999999999998,-0.060574,0.006268
60,1,0.064359,-0.026042000000000003,9.3175e-05,0.0021,-0.026137,-0.06437799999999999,0.0020721999999999997
61,1,0.065299,-0.024502,0.00015176,0.0021,-0.024687999999999998,-0.065325,0.0058615
62,1,0.061278,-0.023696000000000002,0.00014525,0.0021,-0.023886,-0.061453999999999995,0.007262899999999999
63,1,0.063675,-0.02192,5.6448e-05,0.0021,-0.021993000000000002,-0.063705,0.0020932
64,1,0.059924,-0.023918000000000002,8.734e-05,0.0021,-0.024011,-0.060032,0.002074
65,1,0.05819,-0.020896,-1.9206e-05,0.0021,-0.02101,-0.058526,0.008150399999999999
66,1,0.060313,-0.020516999999999997,0.00011306,0.0021,-0.020654,-0.060529999999999994,0.0044973999999999995
67,1,0.062983,-0.019502000000000002,0.00017825,0.0021,-0.019813,-0.06313300000000001,0.0076536
68,1,0.065102,-0.017918,1.9981e-05,0.0021,-0.018049000000000003,-0.065162,0.0020855
69,1,0.062024,-0.016577,7.5898e-05,0.0021,-0.016819,-0.062178,0.0047555
70,1,0.059655999999999994,-0.014403000000000001,0.00015616,0.0021,-0.014638,-0.05979500000000001,0.0020909
71,1,0.06387000000000001,-0.013875,3.5372e-05,0.0021,-0.014048,-0.06393,0.0021173000000000003
72,1,0.063587,-0.013000000000000001,4.4578999999999994e-05,0.0021,-0.013305,-0.063699,0.006438299999999999
73,1,0.059269,-0.013085,0.00012464,0.0021,-0.013443,-0.059534000000000004,0.0061011
74,1,0.062827,-0.009928200000000002,-1.4697e-05,0.0021,-0.009981499999999999,-0.062888,0.0020911
75,1,0.060708000000000005,-0.008933499999999999,1.649e-05,0.0021,-0.009161399999999998,-0.06088300000000001,0.0056879
76,1,0.064958,-0.009296200000000001,2.8244e-05,0.0021,-0.0094286,-0.06506,0.0056292
77,1,0.058880999999999996,-0.009024700000000002,-3.1371e-05,0.0021,-0.0091005,-0.058743,0.00209
78,1,0.06493099999999999,-0.005572,1.6093e-05,0.0021,-0.0056319,-0.064971,0.0038732
79,1,0.061161,-0.005589800000000001,1.8738e-05,0.0021,-0.0056213,-0.061174,0.0020935
80,1,0.059011,-0.0048205,6.234e-05,0.0021,-0.0049371,-0.059125,0.005686600000000001
81,1,0.062735,-0.0029211,6.5108e-05,0.0021,-0.0029694,-0.06277999999999999,0.0062531999999999996
82,1,0.06218099999999999,-8.913200000000001e-05,5.7831e-05,0.0021,-0.00010405,-0.062193,0.0020918000000000004
83,1,0.05935700000000001,-0.00076802,9.120600000000001e-05,0.0021,-0.00078944,-0.059382000000000004,0.005130399999999999
84,1,0.064876,0.00057626,6.2981e-05,0.0021,0.00054335,-0.064902,0.0052223999999999994
85,1,0.06180700000000001,0.00097733,0.0001,0.0021,0.0009388999999999999,-0.061846000000000005,0.0080331
86,1,0.058895,0.0025003,3.2272e-05,0.0021,0.0024983,-0.058910000000000004,0.0021934999999999997
87,1,0.065232,0.0034488,2.7779e-05,0.0021,0.0034631999999999996,-0.065235,0.0020913
88,1,0.062154999999999995,0.0037616,0.00010452,0.0021,0.0037736999999999996,-0.062206,0.0049655
89,1,0.065066,0.0045325,8.204299999999999e-05,0.0021,0.0045168,-0.065097,0.0079113
90,1,0.058298,0.0049694,0.00011725,0.0021,0.004986399999999999,-0.058403,0.006243199999999999
91,2,0.064189,0.0074678,6.4143e-05,0.0021,0.0074643999999999995,-0.064223,0.0050701
92,2,0.06155,0.0067932,8.1175e-05,0.0021,0.006784100000000001,-0.061611,0.008261200000000002
93,2,0.058202,0.0065937,2.4412e-05,0.0021,0.0066325,-0.058208,0.0020956
94,2,0.059976,0.0088348,-3.5836999999999996e-05,0.0021,0.0089445,-0.060136,0.0050141000000000005
95,2,0.062852,0.010037,3.1995999999999997e-05,0.0021,0.010052,-0.06288200000000001,0.0020706999999999995
96,2,0.06257,0.010862,7.5345e-05,0.0021,0.010837000000000001,-0.062599,0.0078318
97,2,0.06351799999999999,0.013704,6.2929e-05,0.0021,0.013678000000000001,-0.063538,0.004032
98,2,0.06055599999999999,0.014469999999999998,0.00010133,0.0021,0.014388,-0.060578999999999994,0.0068789
99,2,0.065149,0.022104,6.6724e-05,0.0021,0.022055,-0.065122,0.0058194
100,2,0.060025999999999996,0.014888,3.7264e-05,0.0021,0.014877000000000001,-0.060037,0.0020896
101,2,0.063486,0.017671,6.0502e-05,0.0021,0.017639,-0.063487,0.005381
102,2,0.058691,0.017828999999999998,0.00010207,0.0021,0.017753,-0.05870499999999999,0.0052168
103,2,0.06124299999999999,0.018913,5.3686999999999996e-05,0.0021,0.018887,-0.06124500000000001,0.0020797
104,2,0.058735,0.021023,9.183299999999999e-05,0.0021,0.020986,-0.05873,0.0078887
105,2,0.061128999999999996,0.022216999999999997,7.8438e-05,0.0021,0.022167,-0.061112,0.0046643
106,2,0.064167,0.024221,4.2323e-05,0.0021,0.024199000000000002,-0.064148,0.0020761
107,2,0.060049,0.025305,4.9525e-05,0.0021,0.025277,-0.060036,0.0020873000000000003
108,2,0.062725,0.026098000000000003,7.6053e-05,0.0021,0.026042000000000003,-0.062694,0.0055166
109,2,0.06276799999999999,0.028484,3.6485999999999996e-05,0.0021,0.028452999999999996,-0.062748,0.0020911
