rhos,ds,Es,vs,rhop,l,Ep,vp,ep
"7130,3","4,58","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,138972316383624"
"7130,3","4,58","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,146805054878676"
"7130,3","4,58","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,146489683827262"
"7130,3","4,58","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,15363967656368"
"7130,3","4,58","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,139271503632789"
"7130,3","4,58","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,217512822511661"
"7130,3","4,58","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,222401361487285"
"7130,3","4,58","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,217279314314972"
"7130,3","4,58","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,221924616327044"
"7130,3","4,58","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,217512822511661"
"7130,3","4,58","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,474455714591178"
"7130,3","4,58","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,485727017913083"
"7130,3","4,58","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,436435780471985"
"7130,3","4,58","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,463738895760168"
"7130,3","4,58","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,42385572976389"
"7130,3","4,58","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,587990681537975"
"7130,3","4,58","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,58554004376912"
"7130,3","4,58","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,56907925941919"
"7130,3","4,58","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,567774973957669"
"7130,3","4,58","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,6243939793189"
"7130,3","4,58","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,865060472672776"
"7130,3","4,58","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,712525303194425"
"7130,3","4,58","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,829730775035731"
"7130,3","4,58","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,698582442660778"
"7130,3","4,58","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,776286086012267"
"7130,3","4,58","1,80E+11","0,3",7500,6,"1,80E+11","0,3","0,642796089896954"
"7130,3","4,58","1,80E+11","0,3",7500,6,"1,80E+11","0,3","0,680981838037009"
"7130,3","4,58","1,80E+11","0,3",7500,6,"1,80E+11","0,3","0,61192265786376"
