x1,x2,x3,y1,y2,y3,y4,y5,y6
17,8,16,9,40,41,50,55,58
21,8,16,3,5,11,27,35,44
24,8,16,23,24,32,38,40,41
28,8,16,8,18,21,22,35,37
31,8,16,13,17,29,45,49,50
4,9,16,1,2,34,39,41,45
7,9,16,25,30,31,34,43,59
11,9,16,6,10,15,24,38,39
14,9,16,2,9,14,22,32,37
18,9,16,13,23,25,35,52,53
21,9,16,22,28,30,33,55,59
25,9,16,1,13,14,21,26,51
28,9,16,10,30,36,40,44,60
2,10,16,2,4,9,35,45,60
5,10,16,2,8,35,42,49,56
9,10,16,4,5,14,37,40,60
12,10,16,1,5,31,32,37,42
16,10,16,14,17,36,38,44,60
19,10,16,3,10,17,21,22,43
23,10,16,1,5,23,25,28,31
26,10,16,11,23,24,26,40,52
30,10,16,18,20,30,22,33,40
2,11,16,3,11,17,33,52,58
6,11,16,11,13,25,39,46,56
9,11,16,5,25,28,41,53,54
13,11,16,10,28,37,43,44,47
16,11,16,1,45,47,52,53,55
20,11,16,7,18,39,41,44,51
23,11,16,13,16,23,24,32,35
27,11,16,12,16,26,40,56,57
30,11,16,5,10,20,57,58,59
4,12,16,5,16,19,37,51,56
7,12,16,9,10,19,35,37,41
11,12,16,16,27,28,47,59,60
14,12,16,1,4,23,32,38,59
18,12,16,7,14,18,23,32,59
21,12,16,3,7,15,40,45,54
25,12,16,11,23,34,41,46,56
28,12,16,1,10,17,18,45,48
1,1,17,16,23,25,28,30,44
4,1,17,5,11,22,24,51,53
8,1,17,1,3,19,23,47,58
11,1,17,6,17,22,30,37,50
15,1,17,16,17,19,28,45,58
18,1,17,21,31,35,53,54,57
22,1,17,2,3,5,10,15,34
25,1,17,3,6,14,15,21,25
29,1,17,9,22,25,47,52,58
1,2,17,12,34,45,53,55,58
5,2,17,20,23,35,36,44,48
8,2,17,8,11,27,28,43,46
12,2,17,11,12,26,30,37,53
15,2,17,2,7,9,18,21,25
19,2,17,9,10,15,28,43,45
22,2,17,12,15,18,21,51,56
26,2,17,29,35,43,54,56,57
1,3,17,6,27,33,39,40,60
5,3,17,3,25,35,38,44,48
8,3,17,4,10,13,23,27,57
12,3,17,11,40,43,45,47,57
15,3,17,6,9,15,22,39,48
19,3,17,16,18,23,30,32,33
22,3,17,10,13,33,35,36,42
26,3,17,4,14,17,43,52,56
29,3,17,16,29,33,39,42,44
2,4,17,2,20,21,33,48,57
5,4,17,3,9,18,23,50,52
9,4,17,4,21,25,33,36,46
12,4,17,16,17,20,22,38,50
16,4,17,11,28,37,45,54,60
19,4,17,25,31,33,39,43,45
23,4,17,10,15,16,19,28,35
26,4,17,20,22,36,38,41,43
30,4,17,9,34,42,45,46,59
3,5,17,12,16,30,52,53,58
7,5,17,1,17,38,43,45,47
10,5,17,2,3,14,20,30,46
14,5,17,5,11,13,19,30,31
17,5,17,10,26,28,51,53,59
21,5,17,3,10,23,36,43,52
24,5,17,4,17,18,37,52,56
28,5,17,2,8,9,15,22,34
31,5,17,10,16,21,29,44,55
4,6,17,2,14,15,19,35,59
7,6,17,8,23,35,39,56,59
11,6,17,1,3,10,17,23,24
14,6,17,3,12,24,40,51,52
18,6,17,6,10,24,29,43,55
21,6,17,10,16,32,40,42,54
25,6,17,7,24,29,39,45,52
28,6,17,9,13,16,17,36,47
2,7,17,1,9,24,38,48,49
5,7,17,6,18,20,24,43,48
9,7,17,9,11,12,30,39,43
