diametro,densidade,E,v,rugosidade,mr
4.58,7130.3,9.00E+10,0.22,0.00043,0.1524744301
4.58,7130.3,9.00E+10,0.22,0.00043,0.1519493804
4.58,7130.3,9.00E+10,0.22,0.00043,0.1516360827
4.58,7130.3,9.00E+10,0.22,0.00027,0.0999343979
4.58,7130.3,9.00E+10,0.22,0.00027,0.1065033095
4.58,7130.3,9.00E+10,0.22,0.00027,0.105131368
4.58,7130.3,9.00E+10,0.22,0.0002,0.095958674
4.58,7130.3,9.00E+10,0.22,0.0002,0.0819202754
4.58,7130.3,9.00E+10,0.22,0.0002,0.067434373
4.58,7130.3,9.00E+10,0.22,0.00016,0.0733800457
4.58,7130.3,9.00E+10,0.22,0.00016,0.0911408212
4.58,7130.3,9.00E+10,0.22,0.00016,0.1056802727
4.58,7130.3,9.00E+10,0.22,0.00013,0.1019495613
4.58,7130.3,9.00E+10,0.22,0.00013,0.0780263791
4.58,7130.3,9.00E+10,0.22,0.00013,0.0729932692
4.58,7130.3,9.00E+10,0.22,0.0001,0.0737307373
4.58,7130.3,9.00E+10,0.22,0.0001,0.0706212442
4.58,7130.3,9.00E+10,0.22,0.0001,0.097379338
4.58,7130.3,9.00E+10,0.22,0.0001,0.0904524372
4.58,7130.3,9.00E+10,0.22,0.00008,0.0695118148
4.58,7130.3,9.00E+10,0.22,0.00008,0.0725758225
4.58,7130.3,9.00E+10,0.22,0.00008,0.0524561342
4.58,7130.3,9.00E+10,0.22,1.63E-07,0.0102880658
4.58,7130.3,9.00E+10,0.22,1.63E-07,0.0098231827
4.58,7130.3,9.00E+10,0.22,1.63E-07,0.0105708245
4.58,7130.3,9.00E+10,0.22,1.63E-07,0.0095057034
4.58,7130.3,9.00E+10,0.22,1.63E-07,0.0100806452
4.58,7130.3,9.00E+10,0.22,1.69E-06,0.0103950104
4.58,7130.3,9.00E+10,0.22,1.69E-06,0.011820331
4.58,7130.3,9.00E+10,0.22,1.69E-06,0.0114942529
4.58,7130.3,9.00E+10,0.22,1.69E-06,0.0101626016
4.58,7130.3,9.00E+10,0.22,1.69E-06,0.0117370892
6.04,7576.2,9.00E+10,0.22,0.00043,0.1242938708
6.04,7576.2,9.00E+10,0.22,0.00043,0.107767245
6.04,7576.2,9.00E+10,0.22,0.00043,0.1185037793
6.04,7576.2,9.00E+10,0.22,0.00027,0.0864682762
6.04,7576.2,9.00E+10,0.22,0.00027,0.0781065089
6.04,7576.2,9.00E+10,0.22,0.00027,0.0806775517
6.04,7576.2,9.00E+10,0.22,0.0002,0.0697281455
6.04,7576.2,9.00E+10,0.22,0.0002,0.0736431145
6.04,7576.2,9.00E+10,0.22,0.0002,0.0604983009
6.04,7576.2,9.00E+10,0.22,0.00016,0.0583716988
6.04,7576.2,9.00E+10,0.22,0.00016,0.0482353739
6.04,7576.2,9.00E+10,0.22,0.00016,0.0586406199
6.04,7576.2,9.00E+10,0.22,0.00016,0.062179278
6.04,7576.2,9.00E+10,0.22,0.00013,0.0477536111
6.04,7576.2,9.00E+10,0.22,0.00013,0.0587686016
