d,rho,E,v,rugosidade,ms
6.51,2371.27,9.00E+10,0.22,0.0001,0.825
6.51,2371.27,9.00E+10,0.22,0.0001,0.7918
6.51,2371.27,9.00E+10,0.22,0.0001,0.7441
6.51,2371.27,9.00E+10,0.22,0.0001,0.8293
6.51,2371.27,9.00E+10,0.22,0.0001,0.8139
6.51,2371.27,9.00E+10,0.22,0.000125,0.9478217419
6.51,2371.27,9.00E+10,0.22,0.000125,0.8461329991
6.51,2371.27,9.00E+10,0.22,0.000125,1.0381364545
6.51,2371.27,9.00E+10,0.22,0.000125,0.9700814165
6.51,2371.27,9.00E+10,0.22,0.000125,0.8235063293
6.51,2371.27,9.00E+10,0.22,0.000162,1.0490672674
6.51,2371.27,9.00E+10,0.22,0.000162,1.004110347
6.51,2371.27,9.00E+10,0.22,0.000162,0.9110826925
6.51,2371.27,9.00E+10,0.22,0.000162,0.9462013167
6.51,2371.27,9.00E+10,0.22,0.000162,0.9648700837
6.51,2371.27,9.00E+10,0.22,0.000201,0.9434206217
6.51,2371.27,9.00E+10,0.22,0.000201,0.9691667514
6.51,2371.27,9.00E+10,0.22,0.000201,1.016506318
6.51,2371.27,9.00E+10,0.22,0.000201,1.0782829138
6.51,2371.27,9.00E+10,0.22,0.000201,1.159239247
6.51,2371.27,9.00E+10,0.22,0.000269,1.0615140531
6.51,2371.27,9.00E+10,0.22,0.000269,1.2130435765
6.51,2371.27,9.00E+10,0.22,0.000269,1.1103611233
6.51,2371.27,9.00E+10,0.22,0.000269,1.2341627426
6.51,2371.27,9.00E+10,0.22,0.000269,1.2776460359
6.51,2371.27,9.00E+10,0.22,0.000425,1.1974575697
6.51,2371.27,9.00E+10,0.22,0.000425,1.2845568391
6.51,2371.27,9.00E+10,0.22,0.000425,1.3777990447
6.51,2371.27,9.00E+10,0.22,0.000425,1.3528207821
6.51,2371.27,9.00E+10,0.22,0.000425,1.3020822747
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.4532899714
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.4754988313
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.4654911526
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.457789898
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.4678653297
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.537266958
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.5790733652
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.5565370326
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.601770611
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.5800924828
4.58,7130.3,1.80E+11,0.3,0.0001,1.0399
4.58,7130.3,1.80E+11,0.3,0.0001,1.1121
4.58,7130.3,1.80E+11,0.3,0.0001,1.0625
4.58,7130.3,1.80E+11,0.3,0.0001,0.9755
4.58,7130.3,1.80E+11,0.3,0.0001,1.0384
4.58,7130.3,1.80E+11,0.3,0.000125,1.0419805529
4.58,7130.3,1.80E+11,0.3,0.000125,1.0601697146
4.58,7130.3,1.80E+11,0.3,0.000125,1.1124384368
4.58,7130.3,1.80E+11,0.3,0.000125,1.1011757046
4.58,7130.3,1.80E+11,0.3,0.000125,1.1393524482
4.58,7130.3,1.80E+11,0.3,0.000162,1.1543747827
4.58,7130.3,1.80E+11,0.3,0.000162,1.1830249227
4.58,7130.3,1.80E+11,0.3,0.000162,1.0637826303
4.58,7130.3,1.80E+11,0.3,0.000162,1.0973739046
4.58,7130.3,1.80E+11,0.3,0.000162,1.1122837123
4.58,7130.3,1.80E+11,0.3,0.000201,1.2516341511
4.58,7130.3,1.80E+11,0.3,0.000201,1.1609314812
4.58,7130.3,1.80E+11,0.3,0.000201,1.168430592
4.58,7130.3,1.80E+11,0.3,0.000201,1.185148867
4.58,7130.3,1.80E+11,0.3,0.000201,1.1243140383
4.58,7130.3,1.80E+11,0.3,0.000269,1.2963173579
4.58,7130.3,1.80E+11,0.3,0.000269,1.2807725772
4.58,7130.3,1.80E+11,0.3,0.000269,1.2332641427
4.58,7130.3,1.80E+11,0.3,0.000269,1.2757309724
4.58,7130.3,1.80E+11,0.3,0.000269,1.2401544029
4.58,7130.3,1.80E+11,0.3,0.000425,1.3514555147
4.58,7130.3,1.80E+11,0.3,0.000425,1.393014092
4.58,7130.3,1.80E+11,0.3,0.000425,1.3488051055
4.58,7130.3,1.80E+11,0.3,0.000425,1.3671831515
4.58,7130.3,1.80E+11,0.3,0.000425,1.2751442253
4.58,7130.3,1.80E+11,0.3,1.63E-07,0.3795430204
4.58,7130.3,1.80E+11,0.3,1.63E-07,0.396815892
4.58,7130.3,1.80E+11,0.3,1.63E-07,0.382840459
4.58,7130.3,1.80E+11,0.3,1.63E-07,0.3873274672
4.58,7130.3,1.80E+11,0.3,1.63E-07,0.3854265672
4.58,7130.3,1.80E+11,0.3,1.69E-06,0.436861385
4.58,7130.3,1.80E+11,0.3,1.69E-06,0.4086091078
4.58,7130.3,1.80E+11,0.3,1.69E-06,0.4188570889
4.58,7130.3,1.80E+11,0.3,1.69E-06,0.4364715598
4.58,7130.3,1.80E+11,0.3,1.69E-06,0.4391440725
6.04,7576.21,1.80E+11,0.3,0.0001,1.09754775
6.04,7576.21,1.80E+11,0.3,0.0001,0.8882274486
6.04,7576.21,1.80E+11,0.3,0.0001,0.9854552374
6.04,7576.21,1.80E+11,0.3,0.0001,1.0124060745
6.04,7576.21,1.80E+11,0.3,0.0001,1.020521301
6.04,7576.21,1.80E+11,0.3,0.000125,1.1266945314
6.04,7576.21,1.80E+11,0.3,0.000125,1.1673178158
6.04,7576.21,1.80E+11,0.3,0.000125,1.2119961874
6.04,7576.21,1.80E+11,0.3,0.000125,1.0126553075
6.04,7576.21,1.80E+11,0.3,0.000125,1.196156424
6.04,7576.21,1.80E+11,0.3,0.000162,1.190297766
6.04,7576.21,1.80E+11,0.3,0.000162,1.2864056906
6.04,7576.21,1.80E+11,0.3,0.000162,1.0945081186
6.04,7576.21,1.80E+11,0.3,0.000162,1.1924095099
6.04,7576.21,1.80E+11,0.3,0.000162,1.288386082
6.04,7576.21,1.80E+11,0.3,0.000201,1.230814958
6.04,7576.21,1.80E+11,0.3,0.000201,1.2478048978
6.04,7576.21,1.80E+11,0.3,0.000201,1.33848527
6.04,7576.21,1.80E+11,0.3,0.000201,1.2359899094
6.04,7576.21,1.80E+11,0.3,0.000201,1.2210426694
6.04,7576.21,1.80E+11,0.3,0.000269,1.3688091718
6.04,7576.21,1.80E+11,0.3,0.000269,1.3567651586
6.04,7576.21,1.80E+11,0.3,0.000269,1.3610880028
6.04,7576.21,1.80E+11,0.3,0.000269,1.3211383209
6.04,7576.21,1.80E+11,0.3,0.000269,1.3362404896
6.04,7576.21,1.80E+11,0.3,0.000425,1.5073506876
6.04,7576.21,1.80E+11,0.3,0.000425,1.5008672633
6.04,7576.21,1.80E+11,0.3,0.000425,1.3324952595
6.04,7576.21,1.80E+11,0.3,0.000425,1.4405899411
6.04,7576.21,1.80E+11,0.3,0.000425,1.3323925351
6.04,7576.21,1.80E+11,0.3,1.63E-07,0.2178127452
6.04,7576.21,1.80E+11,0.3,1.63E-07,0.22602396
6.04,7576.21,1.80E+11,0.3,1.63E-07,0.2132962403
6.04,7576.21,1.80E+11,0.3,1.63E-07,0.2608694188
6.04,7576.21,1.80E+11,0.3,1.63E-07,0.1936826187
6.04,7576.21,1.80E+11,0.3,1.69E-06,0.3844199103
6.04,7576.21,1.80E+11,0.3,1.69E-06,0.3608337178
6.04,7576.21,1.80E+11,0.3,1.69E-06,0.3841841495
6.04,7576.21,1.80E+11,0.3,1.69E-06,0.3585502053
6.04,7576.21,1.80E+11,0.3,1.69E-06,0.4721684276
6.64,1157.46,1.20E+07,0.2,0.0001,1.1230783106
6.64,1157.46,1.20E+07,0.2,0.0001,1.1748582337
6.64,1157.46,1.20E+07,0.2,0.0001,1.1379896057
6.64,1157.46,1.20E+07,0.2,0.0001,0.9941038755
6.64,1157.46,1.20E+07,0.2,0.0001,1.0124724265
6.64,1157.46,1.20E+07,0.2,0.000125,1.2524473238
6.64,1157.46,1.20E+07,0.2,0.000125,1.194944139
6.64,1157.46,1.20E+07,0.2,0.000125,1.0812304825
6.64,1157.46,1.20E+07,0.2,0.000125,1.1750574017
6.64,1157.46,1.20E+07,0.2,0.000125,1.2815070629
6.64,1157.46,1.20E+07,0.2,0.000162,1.381752453
6.64,1157.46,1.20E+07,0.2,0.000162,1.3878026508
6.64,1157.46,1.20E+07,0.2,0.000162,1.2162964522
6.64,1157.46,1.20E+07,0.2,0.000162,1.3231745125
6.64,1157.46,1.20E+07,0.2,0.000162,1.2112608838
6.64,1157.46,1.20E+07,0.2,0.000201,1.4038563435
6.64,1157.46,1.20E+07,0.2,0.000201,1.4305824349
6.64,1157.46,1.20E+07,0.2,0.000201,1.5348525217
6.64,1157.46,1.20E+07,0.2,0.000201,1.5663135506
6.64,1157.46,1.20E+07,0.2,0.000201,1.3447259937
6.64,1157.46,1.20E+07,0.2,0.000269,1.5778540211
6.64,1157.46,1.20E+07,0.2,0.000269,1.6089317455
6.64,1157.46,1.20E+07,0.2,0.000269,1.5102571522
6.64,1157.46,1.20E+07,0.2,0.000269,1.610743047
6.64,1157.46,1.20E+07,0.2,0.000269,1.5098851214
6.64,1157.46,1.20E+07,0.2,0.000425,1.4970594535
6.64,1157.46,1.20E+07,0.2,0.000425,1.6406520685
6.64,1157.46,1.20E+07,0.2,0.000425,1.6098561857
6.64,1157.46,1.20E+07,0.2,0.000425,1.5972184121
6.64,1157.46,1.20E+07,0.2,0.000425,1.7167417618
6.64,1157.46,1.20E+07,0.2,1.63E-07,0.2244210036
6.64,1157.46,1.20E+07,0.2,1.63E-07,0.2778205759
6.64,1157.46,1.20E+07,0.2,1.63E-07,0.2368558512
6.64,1157.46,1.20E+07,0.2,1.63E-07,0.2335038161
6.64,1157.46,1.20E+07,0.2,1.63E-07,0.2721348931
6.64,1157.46,1.20E+07,0.2,1.69E-06,0.514018797
6.64,1157.46,1.20E+07,0.2,1.69E-06,0.6023779908
6.64,1157.46,1.20E+07,0.2,1.69E-06,0.5319627067
6.64,1157.46,1.20E+07,0.2,1.69E-06,0.5636003562
6.64,1157.46,1.20E+07,0.2,1.69E-06,0.545573773
6.14,1640.62,2.30E+09,0.35,0.0001,1.0642376395
6.14,1640.62,2.30E+09,0.35,0.0001,1.0402061107
6.14,1640.62,2.30E+09,0.35,0.0001,1.1660276981
6.14,1640.62,2.30E+09,0.35,0.0001,1.0601577069
6.14,1640.62,2.30E+09,0.35,0.0001,1.0770201662
6.14,1640.62,2.30E+09,0.35,0.000125,1.1988343951
6.14,1640.62,2.30E+09,0.35,0.000125,1.2004152507
6.14,1640.62,2.30E+09,0.35,0.000125,1.1150174967
6.14,1640.62,2.30E+09,0.35,0.000125,1.1856448218
6.14,1640.62,2.30E+09,0.35,0.000125,1.1777373887
6.14,1640.62,2.30E+09,0.35,0.000162,1.2010053105
6.14,1640.62,2.30E+09,0.35,0.000162,1.2672718724
6.14,1640.62,2.30E+09,0.35,0.000162,1.236519341
6.14,1640.62,2.30E+09,0.35,0.000162,1.2922531767
6.14,1640.62,2.30E+09,0.35,0.000162,1.2514443845
6.14,1640.62,2.30E+09,0.35,0.000201,1.2450389219
6.14,1640.62,2.30E+09,0.35,0.000201,1.278823793
6.14,1640.62,2.30E+09,0.35,0.000201,1.374792138
6.14,1640.62,2.30E+09,0.35,0.000201,1.2373050357
6.14,1640.62,2.30E+09,0.35,0.000201,1.4183871487
6.14,1640.62,2.30E+09,0.35,0.000269,1.5047220566
6.14,1640.62,2.30E+09,0.35,0.000269,1.4335299148
6.14,1640.62,2.30E+09,0.35,0.000269,1.3850913646
6.14,1640.62,2.30E+09,0.35,0.000269,1.4564128778
6.14,1640.62,2.30E+09,0.35,0.000269,1.4992600586
6.14,1640.62,2.30E+09,0.35,0.000425,1.4154904912
6.14,1640.62,2.30E+09,0.35,0.000425,1.5923254354
6.14,1640.62,2.30E+09,0.35,0.000425,1.5422744757
6.14,1640.62,2.30E+09,0.35,0.000425,1.447577757
6.14,1640.62,2.30E+09,0.35,0.000425,1.3778844303
6.14,1640.62,2.30E+09,0.35,1.63E-07,0.5228498313
6.14,1640.62,2.30E+09,0.35,1.63E-07,0.5601876832
6.14,1640.62,2.30E+09,0.35,1.63E-07,0.4613037483
6.14,1640.62,2.30E+09,0.35,1.63E-07,0.6832230521
6.14,1640.62,2.30E+09,0.35,1.63E-07,0.6051742254
6.14,1640.62,2.30E+09,0.35,1.69E-06,0.7134486317
6.14,1640.62,2.30E+09,0.35,1.69E-06,0.7193050546
