R1,D1,R2,D2,sig,k
0.0021,3000.0000,0.0021,3000.0000,0.1798,0.1684
0.0021,3000.0000,0.0021,7000.0000,0.3039,0.1141
0.0021,7000.0000,0.0021,3000.0000,0.2605,0.2065
0.0021,7000.0000,0.0021,7000.0000,0.2595,0.1128
0.0024,5000.0000,0.0015,5000.0000,0.2917,0.1624
0.0015,5000.0000,0.0024,5000.0000,0.1937,0.1289
0.0015,2000.0000,0.0015,5000.0000,0.3139,0.3294
0.0015,8000.0000,0.0015,5000.0000,0.2442,0.2175
0.0015,5000.0000,0.0015,2000.0000,0.2535,0.3037
0.0015,5000.0000,0.0015,8000.0000,0.3038,0.4343
0.0015,5000.0000,0.0015,5000.0000,0.0804,0.1260
0.0009,3000.0000,0.0021,3000.0000,0.2156,0.1133
0.0009,3000.0000,0.0021,7000.0000,0.2691,0.3038
0.0009,7000.0000,0.0021,3000.0000,0.2513,0.2902
0.0009,7000.0000,0.0021,7000.0000,0.2106,0.1698
0.0021,3000.0000,0.0009,3000.0000,0.1014,0.1367
0.0021,3000.0000,0.0009,7000.0000,0.2309,0.2176
0.0021,7000.0000,0.0009,3000.0000,0.2278,0.3001
0.0021,7000.0000,0.0009,7000.0000,0.2496,0.1157
0.0009,3000.0000,0.0009,3000.0000,0.2379,0.1356
0.0009,3000.0000,0.0009,7000.0000,0.2081,0.2191
0.0009,7000.0000,0.0009,3000.0000,0.2475,0.2013
0.0009,7000.0000,0.0009,7000.0000,0.2618,0.1910
0.0006,5000.0000,0.0015,5000.0000,0.2070,0.1183
0.0015,5000.0000,0.0006,5000.0000,0.1472,0.1458
0.0030,10000.0000,0.0030,1000.0000,0.2827,0.3645
0.0030,10000.0000,0.0030,2000.0000,0.2414,0.3026
0.0030,10000.0000,0.0030,3000.0000,0.1985,0.2747
0.0030,10000.0000,0.0030,4000.0000,0.1982,0.2562
0.0030,10000.0000,0.0030,5000.0000,0.1779,0.2645
0.0030,10000.0000,0.0030,6000.0000,0.1574,0.2375
0.0030,10000.0000,0.0030,7000.0000,0.1361,0.2178
0.0030,10000.0000,0.0030,8000.0000,0.1213,0.2092
0.0030,10000.0000,0.0030,9000.0000,0.1157,0.2053
0.0030,2455.0000,0.0006,2455.0000,0.1499,0.2015
0.0030,2455.0000,0.0009,2455.0000,0.2100,0.2857
0.0030,2455.0000,0.0012,2455.0000,0.2221,0.2671
0.0030,2455.0000,0.0015,2455.0000,0.2348,0.3209
0.0030,2455.0000,0.0018,2455.0000,0.2354,0.3261
0.0030,2455.0000,0.0021,2455.0000,0.1904,0.2924
0.0030,2455.0000,0.0024,2455.0000,0.1351,0.2274
0.0030,2455.0000,0.0027,2455.0000,0.0857,0.1831
