dt,lt,dp,rho,wcexp,wcnum,vp
20.0001,50.0001,6.6401,1157.4601,20.0001,15.4801,0.5901
15.0001,50.0001,6.6401,1157.4601,19.0001,18.0301,0.4701
10.0001,50.0001,6.6401,1157.4601,28.0001,21.5201,0.3901
20.0001,30.0001,6.6401,1157.4601,19.0001,15.4601,0.5401
15.0001,30.0001,6.6401,1157.4601,22.0001,18.0001,0.5101
10.0001,30.0001,6.6401,1157.4601,26.0001,21.5001,0.4201
20.0001,10.0001,6.6401,1157.4601,16.0001,14.5001,0.6101
15.0001,10.0001,6.6401,1157.4601,20.0001,15.0001,0.5301
10.0001,10.0001,6.6401,1157.4601,25.0001,18.5001,0.3901
20.0001,50.0001,6.5101,2371.2701,21.0001,16.0001,0.6101
15.0001,50.0001,6.5101,2371.2701,26.0001,18.5001,0.4901
10.0001,50.0001,6.5101,2371.2701,30.0001,22.0001,0.4101
20.0001,30.0001,6.5101,2371.2701,22.0001,16.0001,0.5701
15.0001,30.0001,6.5101,2371.2701,26.0001,18.5001,0.5501
10.0001,30.0001,6.5101,2371.2701,29.0001,22.0001,0.4401
20.0001,10.0001,6.5101,2371.2701,21.0001,15.0001,0.6501
15.0001,10.0001,6.5101,2371.2701,28.0001,17.0001,0.5301
10.0001,10.0001,6.5101,2371.2701,30.0001,22.0001,0.5101
20.0001,50.0001,4.5801,7130.3001,20.0001,16.5001,0.4901
15.0001,50.0001,4.5801,7130.3001,23.0001,19.5001,0.4501
10.0001,50.0001,4.5801,7130.3001,28.0001,22.5001,0.3401
20.0001,30.0001,4.5801,7130.3001,17.0001,17.0001,0.5101
15.0001,30.0001,4.5801,7130.3001,24.0001,19.0001,0.4401
10.0001,30.0001,4.5801,7130.3001,25.0001,22.0001,0.3701
20.0001,10.0001,4.5801,7130.3001,18.0001,15.5001,0.5801
15.0001,10.0001,4.5801,7130.3001,24.0001,18.0001,0.5201
10.0001,10.0001,4.5801,7130.3001,29.0001,22.0001,0.4101
20.0001,50.0001,6.0401,7576.2101,21.0001,19.5001,0.5001
15.0001,50.0001,6.0401,7576.2101,24.0001,22.0001,0.4001
10.0001,50.0001,6.0401,7576.2101,27.0001,22.5001,0.3501
20.0001,30.0001,6.0401,7576.2101,18.0001,20.0001,0.5201
15.0001,30.0001,6.0401,7576.2101,22.0001,22.0001,0.4301
10.0001,30.0001,6.0401,7576.2101,26.0001,25.5001,0.3801
20.0001,10.0001,6.0401,7576.2101,18.0001,17.5001,0.5101
15.0001,10.0001,6.0401,7576.2101,25.0001,20.5001,0.4701
10.0001,10.0001,6.0401,7576.2101,30.0001,25.0001,0.4101
20.0001,50.0001,6.1401,1640.6201,19.0001,16.0001,0.7101
15.0001,50.0001,6.1401,1640.6201,17.0001,18.0001,0.6301
10.0001,50.0001,6.1401,1640.6201,25.0001,21.5001,0.4501
20.0001,30.0001,6.1401,1640.6201,17.0001,15.5001,0.6801
15.0001,30.0001,6.1401,1640.6201,20.0001,17.5001,0.5601
10.0001,30.0001,6.1401,1640.6201,24.0001,21.5001,0.5001
20.0001,10.0001,6.1401,1640.6201,18.0001,14.5001,0.7401
15.0001,10.0001,6.1401,1640.6201,21.0001,17.0001,0.6501
10.0001,10.0001,6.1401,1640.6201,26.0001,21.0001,0.4501
